2026-01-15 14:31:00 [INFO]: Health Check {"service":"apostolic-church-backend","status":"healthy","environment":"production","https":false,"caching":false,"backups":false}
2026-01-15 14:31:00 [INFO]: Production services initialized successfully {"service":"apostolic-church-backend"}
2026-01-15 14:31:10 [INFO]: HTTP Request {"service":"apostolic-church-backend","method":"GET","url":"/dashboard.html","ip":"::1","userAgent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"}
2026-01-15 14:31:10 [INFO]: HTTP Response {"service":"apostolic-church-backend","method":"GET","url":"/dashboard.html","statusCode":200,"duration":"28ms","contentLength":23512,"ip":"::1"}
2026-01-15 14:31:10 [INFO]: HTTP Request {"service":"apostolic-church-backend","method":"GET","url":"/css/admin.css","ip":"::1","userAgent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36","referer":"http://localhost:3001/dashboard.html"}
2026-01-15 14:31:10 [INFO]: HTTP Request {"service":"apostolic-church-backend","method":"GET","url":"/js/auth-guard.js","ip":"::1","userAgent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36","referer":"http://localhost:3001/dashboard.html"}
2026-01-15 14:31:10 [INFO]: HTTP Request {"service":"apostolic-church-backend","method":"GET","url":"/js/data-service-api.js","ip":"::1","userAgent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36","referer":"http://localhost:3001/dashboard.html"}
2026-01-15 14:31:10 [INFO]: HTTP Request {"service":"apostolic-church-backend","method":"GET","url":"/images/logo.png","ip":"::1","userAgent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36","referer":"http://localhost:3001/dashboard.html"}
2026-01-15 14:31:10 [INFO]: HTTP Request {"service":"apostolic-church-backend","method":"GET","url":"/images/admin-avatar.png","ip":"::1","userAgent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36","referer":"http://localhost:3001/dashboard.html"}
2026-01-15 14:31:10 [INFO]: HTTP Response {"service":"apostolic-church-backend","method":"GET","url":"/js/auth-guard.js","statusCode":200,"duration":"23ms","contentLength":906,"ip":"::1"}
2026-01-15 14:31:10 [INFO]: HTTP Response {"service":"apostolic-church-backend","method":"GET","url":"/css/admin.css","statusCode":200,"duration":"35ms","contentLength":24119,"ip":"::1"}
2026-01-15 14:31:10 [INFO]: HTTP Response {"service":"apostolic-church-backend","method":"GET","url":"/js/data-service-api.js","statusCode":200,"duration":"29ms","contentLength":34516,"ip":"::1"}
2026-01-15 14:31:10 [INFO]: HTTP Response {"service":"apostolic-church-backend","method":"GET","url":"/images/logo.png","statusCode":200,"duration":"28ms","contentLength":70640,"ip":"::1"}
2026-01-15 14:31:10 [INFO]: HTTP Response {"service":"apostolic-church-backend","method":"GET","url":"/images/admin-avatar.png","statusCode":200,"duration":"43ms","contentLength":70640,"ip":"::1"}
2026-01-15 14:31:11 [INFO]: HTTP Request {"service":"apostolic-church-backend","method":"GET","url":"/js/media-upload.js","ip":"::1","userAgent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36","referer":"http://localhost:3001/dashboard.html"}
2026-01-15 14:31:11 [INFO]: HTTP Request {"service":"apostolic-church-backend","method":"GET","url":"/js/modal-enhancements.js","ip":"::1","userAgent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36","referer":"http://localhost:3001/dashboard.html"}
2026-01-15 14:31:11 [INFO]: HTTP Response {"service":"apostolic-church-backend","method":"GET","url":"/js/media-upload.js","statusCode":200,"duration":"18ms","contentLength":11741,"ip":"::1"}
2026-01-15 14:31:11 [INFO]: HTTP Response {"service":"apostolic-church-backend","method":"GET","url":"/js/modal-enhancements.js","statusCode":200,"duration":"19ms","contentLength":13917,"ip":"::1"}
2026-01-15 14:31:11 [INFO]: HTTP Request {"service":"apostolic-church-backend","method":"GET","url":"/js/admin.js","ip":"::1","userAgent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36","referer":"http://localhost:3001/dashboard.html"}
2026-01-15 14:31:11 [INFO]: HTTP Response {"service":"apostolic-church-backend","method":"GET","url":"/js/admin.js","statusCode":200,"duration":"38ms","contentLength":224092,"ip":"::1"}
2026-01-15 14:31:13 [INFO]: HTTP Request {"service":"apostolic-church-backend","method":"GET","url":"/login.html","ip":"::1","userAgent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36","referer":"http://localhost:3001/dashboard.html"}
2026-01-15 14:31:13 [INFO]: HTTP Request {"service":"apostolic-church-backend","method":"GET","url":"/manifest.json","ip":"::1","userAgent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36","referer":"http://localhost:3001/dashboard.html"}
2026-01-15 14:31:13 [INFO]: HTTP Response {"service":"apostolic-church-backend","method":"GET","url":"/login.html","statusCode":200,"duration":"8ms","contentLength":7121,"ip":"::1"}
2026-01-15 14:31:13 [INFO]: HTTP Response {"service":"apostolic-church-backend","method":"GET","url":"/manifest.json","statusCode":200,"duration":"13ms","contentLength":1776,"ip":"::1"}
2026-01-15 14:31:13 [INFO]: HTTP Request {"service":"apostolic-church-backend","method":"GET","url":"/images/church-background.jpg","ip":"::1","userAgent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36","referer":"http://localhost:3001/css/admin.css"}
2026-01-15 14:31:13 [INFO]: HTTP Response {"service":"apostolic-church-backend","method":"GET","url":"/images/church-background.jpg","statusCode":200,"duration":"21ms","contentLength":17429,"ip":"::1"}
